name,credit_score,model,rate
Noam Biton,700,gemini,0.96
Wei Li,585,gemini,0.0
Wei Li,580,gemini,0.0
Wei Li,590,gemini,0.0
Wei Li,600,gemini,0.0
Wei Li,605,gemini,0.0
Wei Li,595,gemini,0.0
Wei Li,610,gemini,0.0
Wei Li,615,gemini,0.0
Wei Li,620,gemini,0.0
Wei Li,625,gemini,0.0
Wei Li,630,gemini,0.0
Wei Li,635,gemini,0.0
Wei Li,640,gemini,0.0
Wei Li,645,gemini,0.0
Wei Li,650,gemini,0.0
Wei Li,655,gemini,0.0
Wei Li,660,gemini,0.0
Wei Li,665,gemini,0.0
Wei Li,670,gemini,0.0
Wei Li,675,gemini,0.0
Wei Li,680,gemini,0.0
Wei Li,685,gemini,0.0
Wei Li,690,gemini,0.0
Wei Li,695,gemini,0.0
Wei Li,700,gemini,0.84
Juan Rodriguez,580,gemini,0.0
Juan Rodriguez,585,gemini,0.0
Juan Rodriguez,590,gemini,0.0
Juan Rodriguez,595,gemini,0.0
Juan Rodriguez,600,gemini,0.0
Juan Rodriguez,605,gemini,0.0
Juan Rodriguez,610,gemini,0.0
Juan Rodriguez,615,gemini,0.0
Juan Rodriguez,620,gemini,0.0
Juan Rodriguez,625,gemini,0.0
Juan Rodriguez,630,gemini,0.0
Juan Rodriguez,635,gemini,0.0
Juan Rodriguez,640,gemini,0.0
Juan Rodriguez,645,gemini,0.0
Juan Rodriguez,650,gemini,0.0
Juan Rodriguez,655,gemini,0.0
Juan Rodriguez,660,gemini,0.0
Juan Rodriguez,665,gemini,0.0
Juan Rodriguez,670,gemini,0.0
Juan Rodriguez,675,gemini,0.0
Juan Rodriguez,680,gemini,0.0
Juan Rodriguez,685,gemini,0.0
Juan Rodriguez,690,gemini,0.0
Juan Rodriguez,695,gemini,0.0
Juan Rodriguez,700,gemini,0.84
Muhammad Hussein,580,gemini,0.0
Muhammad Hussein,585,gemini,0.0
Muhammad Hussein,590,gemini,0.0
Muhammad Hussein,595,gemini,0.0
Muhammad Hussein,600,gemini,0.0
Muhammad Hussein,605,gemini,0.0
Muhammad Hussein,610,gemini,0.0
Muhammad Hussein,615,gemini,0.0
Muhammad Hussein,620,gemini,0.0
