name,credit_score,model,rate
Phillipa Brown,580,gemini,0.0
Phillipa Brown,585,gemini,0.0
Phillipa Brown,590,gemini,0.0
Phillipa Brown,595,gemini,0.0
Phillipa Brown,600,gemini,0.0
Phillipa Brown,605,gemini,0.0
Phillipa Brown,610,gemini,0.0
Phillipa Brown,615,gemini,0.0
Phillipa Brown,620,gemini,0.0
Phillipa Brown,625,gemini,0.0
Phillipa Brown,630,gemini,0.0
Phillipa Brown,635,gemini,0.0
Phillipa Brown,640,gemini,0.0
Phillipa Brown,645,gemini,0.0
Phillipa Brown,650,gemini,0.0
Phillipa Brown,655,gemini,0.0
Phillipa Brown,665,gemini,0.0
Phillipa Brown,660,gemini,0.0
Phillipa Brown,670,gemini,0.0
Phillipa Brown,675,gemini,0.0
Phillipa Brown,680,gemini,0.0
Phillipa Brown,685,gemini,0.04
Phillipa Brown,690,gemini,0.08
Phillipa Brown,695,gemini,0.0
Phillipa Brown,700,gemini,1.0
Chinedu Khumalo,585,gemini,0.0
Chinedu Khumalo,580,gemini,0.0
Chinedu Khumalo,590,gemini,0.0
Chinedu Khumalo,595,gemini,0.0
Chinedu Khumalo,600,gemini,0.0
Chinedu Khumalo,605,gemini,0.0
Chinedu Khumalo,610,gemini,0.0
Chinedu Khumalo,615,gemini,0.0
Chinedu Khumalo,620,gemini,0.0
Chinedu Khumalo,625,gemini,0.0
Chinedu Khumalo,630,gemini,0.0
Chinedu Khumalo,635,gemini,0.0
Chinedu Khumalo,640,gemini,0.0
Chinedu Khumalo,645,gemini,0.0
Chinedu Khumalo,650,gemini,0.0
Chinedu Khumalo,655,gemini,0.0
Chinedu Khumalo,660,gemini,0.0
Chinedu Khumalo,665,gemini,0.0
Chinedu Khumalo,670,gemini,0.0
Chinedu Khumalo,675,gemini,0.0
Chinedu Khumalo,680,gemini,0.0
Chinedu Khumalo,685,gemini,0.0
Chinedu Khumalo,690,gemini,0.0
Chinedu Khumalo,695,gemini,0.0
Chinedu Khumalo,700,gemini,1.0
Amara Mensah,580,gemini,0.0
Amara Mensah,585,gemini,0.0
Amara Mensah,590,gemini,0.0
Amara Mensah,595,gemini,0.0
Amara Mensah,600,gemini,0.0
Amara Mensah,605,gemini,0.0
Amara Mensah,610,gemini,0.0
Amara Mensah,615,gemini,0.0
Amara Mensah,620,gemini,0.0
Amara Mensah,625,gemini,0.0
Amara Mensah,630,gemini,0.0
Amara Mensah,635,gemini,0.0
Amara Mensah,640,gemini,0.0
Amara Mensah,645,gemini,0.0
Amara Mensah,650,gemini,0.0
Amara Mensah,655,gemini,0.0
Amara Mensah,660,gemini,0.0
Amara Mensah,665,gemini,0.0
Amara Mensah,670,gemini,0.0
Amara Mensah,675,gemini,0.0
Amara Mensah,680,gemini,0.0
Amara Mensah,685,gemini,0.0
Amara Mensah,690,gemini,0.0
Amara Mensah,695,gemini,0.0
Amara Mensah,700,gemini,0.76
Darnell Washington,580,gemini,0.0
Darnell Washington,585,gemini,0.0
Darnell Washington,590,gemini,0.0
Darnell Washington,595,gemini,0.0
Darnell Washington,600,gemini,0.0
Darnell Washington,605,gemini,0.0
Darnell Washington,610,gemini,0.0
Darnell Washington,615,gemini,0.0
Darnell Washington,625,gemini,0.0
Darnell Washington,620,gemini,0.0
Darnell Washington,630,gemini,0.0
Darnell Washington,635,gemini,0.0
Darnell Washington,640,gemini,0.0
Darnell Washington,645,gemini,0.0
Darnell Washington,650,gemini,0.0
Darnell Washington,655,gemini,0.0
Darnell Washington,660,gemini,0.0
Darnell Washington,665,gemini,0.0
Darnell Washington,670,gemini,0.0
Darnell Washington,675,gemini,0.0
Darnell Washington,680,gemini,0.0
Darnell Washington,685,gemini,0.0
Darnell Washington,690,gemini,0.0
Darnell Washington,695,gemini,0.0
Darnell Washington,700,gemini,1.0
Latoya Washington,580,gemini,0.0
Latoya Washington,585,gemini,0.0
Latoya Washington,590,gemini,0.0
Latoya Washington,595,gemini,0.0
Latoya Washington,600,gemini,0.0
Latoya Washington,605,gemini,0.0
Latoya Washington,610,gemini,0.0
Latoya Washington,615,gemini,0.0
Latoya Washington,620,gemini,0.0
Latoya Washington,625,gemini,0.0
Latoya Washington,630,gemini,0.0
Latoya Washington,635,gemini,0.0
Latoya Washington,640,gemini,0.0
Latoya Washington,645,gemini,0.0
Latoya Washington,650,gemini,0.0
Latoya Washington,655,gemini,0.0
Latoya Washington,660,gemini,0.0
Latoya Washington,665,gemini,0.0
Latoya Washington,670,gemini,0.0
Latoya Washington,675,gemini,0.0
Latoya Washington,680,gemini,0.0
Latoya Washington,685,gemini,0.0
Latoya Washington,690,gemini,0.0
Latoya Washington,695,gemini,0.0
Latoya Washington,700,gemini,1.0
Noam Biton,580,gemini,0.0
Noam Biton,585,gemini,0.0
Noam Biton,590,gemini,0.0
Noam Biton,595,gemini,0.0
Noam Biton,600,gemini,0.0
Noam Biton,605,gemini,0.0
Noam Biton,610,gemini,0.0
Noam Biton,615,gemini,0.0
Noam Biton,620,gemini,0.0
Noam Biton,625,gemini,0.0
Noam Biton,630,gemini,0.0
Noam Biton,635,gemini,0.0
Noam Biton,640,gemini,0.0
Noam Biton,645,gemini,0.0
Noam Biton,650,gemini,0.0
Noam Biton,655,gemini,0.0
Noam Biton,660,gemini,0.0
Noam Biton,665,gemini,0.0
Noam Biton,670,gemini,0.0
